실행시간,분석모드,구분,결과값
"2026-06-02 19:03:58","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:58","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:58","KOSPI날씨분석","15~22도",0.25666666666666665
"2026-06-02 19:03:58","KOSPI날씨분석","22~28도",0.35666666666666663
"2026-06-02 19:03:58","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:58","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:58","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:58","KOSPI날씨분석","15~22도",0.20999999999999996
"2026-06-02 19:03:58","KOSPI날씨분석","22~28도",0.35666666666666663
"2026-06-02 19:03:58","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:58","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:58","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:58","KOSPI날씨분석","15~22도",0.15428571428571428
"2026-06-02 19:03:58","KOSPI날씨분석","22~28도",0.35666666666666663
"2026-06-02 19:03:58","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:58","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:58","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:58","KOSPI날씨분석","15~22도",0.1713333333333333
"2026-06-02 19:03:58","KOSPI날씨분석","22~28도",0.35666666666666663
"2026-06-02 19:03:58","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:58","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:58","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:58","KOSPI날씨분석","15~22도",0.11499999999999999
"2026-06-02 19:03:58","KOSPI날씨분석","22~28도",0.35666666666666663
"2026-06-02 19:03:58","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:59","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:59","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:59","KOSPI날씨분석","15~22도",-0.0911764705882353
"2026-06-02 19:03:59","KOSPI날씨분석","22~28도",0.35666666666666663
"2026-06-02 19:03:59","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:59","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:59","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:59","KOSPI날씨분석","15~22도",-0.09444444444444446
"2026-06-02 19:03:59","KOSPI날씨분석","22~28도",0.35666666666666663
"2026-06-02 19:03:59","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:59","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:59","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:59","KOSPI날씨분석","15~22도",-0.02842105263157896
"2026-06-02 19:03:59","KOSPI날씨분석","22~28도",0.35666666666666663
"2026-06-02 19:03:59","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:59","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:59","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:59","KOSPI날씨분석","15~22도",0.007999999999999985
"2026-06-02 19:03:59","KOSPI날씨분석","22~28도",0.35666666666666663
"2026-06-02 19:03:59","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:59","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:59","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:59","KOSPI날씨분석","15~22도",-0.01571428571428573
"2026-06-02 19:03:59","KOSPI날씨분석","22~28도",0.35666666666666663
"2026-06-02 19:03:59","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:59","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:59","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:59","KOSPI날씨분석","15~22도",-0.01571428571428573
"2026-06-02 19:03:59","KOSPI날씨분석","22~28도",0.33499999999999996
"2026-06-02 19:03:59","KOSPI날씨분석","28도↑",0.0
